TOTAL_SCORE : ,97.6
Tanggal Scoring,Nama Kolom,Jumlah Total Baris,Jumlah Invalid,Jumlah Valid,Validity Score (%),Status
2025-06-11 10:18:09,Timestamp,40000,0,40000,100.0,PASS
2025-06-11 10:18:09,Source IP Address,40000,1192,38808,97.02,FAILED
2025-06-11 10:18:09,Destination IP Address,40000,1161,38839,97.1,FAILED
2025-06-11 10:18:09,Source Port,40000,0,40000,100.0,PASS
2025-06-11 10:18:09,Destination Port,40000,0,40000,100.0,PASS
2025-06-11 10:18:09,Protocol,40000,0,40000,100.0,PASS
2025-06-11 10:18:09,Packet Length,40000,0,40000,100.0,PASS
2025-06-11 10:18:09,Packet Type,40000,0,40000,100.0,PASS
2025-06-11 10:18:09,Traffic Type,40000,0,40000,100.0,PASS
2025-06-11 10:18:09,Payload Data,40000,0,40000,100.0,PASS
2025-06-11 10:18:09,Malware Indicators,40000,20000,20000,50.0,WARN
2025-06-11 10:18:09,Anomaly Scores,40000,0,40000,100.0,PASS
2025-06-11 10:18:09,Alerts/Warnings,40000,0,40000,100.0,PASS
2025-06-11 10:18:09,Attack Type,40000,0,40000,100.0,PASS
2025-06-11 10:18:09,Attack Signature,40000,0,40000,100.0,PASS
2025-06-11 10:18:09,Action Taken,40000,0,40000,100.0,PASS
2025-06-11 10:18:09,Severity Level,40000,0,40000,100.0,PASS
2025-06-11 10:18:09,User Information,40000,0,40000,100.0,PASS
2025-06-11 10:18:09,Device Information,40000,1646,38354,95.88,PASS
2025-06-11 10:18:09,Network Segment,40000,0,40000,100.0,PASS
2025-06-11 10:18:09,Geo-location Data,40000,0,40000,100.0,PASS
2025-06-11 10:18:09,Proxy Information,40000,0,40000,100.0,PASS
2025-06-11 10:18:09,Firewall Logs,40000,0,40000,100.0,PASS
2025-06-11 10:18:09,IDS/IPS Alerts,40000,0,40000,100.0,PASS
2025-06-11 10:18:09,Log Source,40000,0,40000,100.0,PASS
